,first,second,count
0,isme,aire,40
1,isme,ment,361
2,isme,age,167
3,isme,oir,0
4,isme,aye,0
5,isme,ion,427
6,isme,able,72
7,isme,ant/ent,97
8,isme,eur,176
9,isme,nce,19
10,isme,ique,182
11,isme,ité,321
12,isme,enda,0
13,isme,il,17
14,isme,ium,0
15,isme,al,371
16,isme,é,55
17,isme,i,0
18,isme,is,42
19,isme,elle,42
20,isme,rium,0
21,isme,esque,0
22,isme,ade,0
23,isme,eau,0
24,isme,er,0
25,isme,et,42
26,isme,ada,0
27,isme,ie,12
28,isme,ure,84
29,isme,ite,4
30,isme,an,0
31,isme,ail,0
32,isme,mat,0
33,isme,ice,0
34,isme,ette,10
35,isme,erine,0
36,isme,ot,27
37,isme,uchon,0
38,isme,uch,0
39,isme,on,42
40,isme,ole,0
41,isme,oul,0
42,isme,ère,3
43,isme,aille,0
44,isme,ène,0
45,isme,ard,0
46,isme,ou,0
47,isme,non,0
48,isme,ing,0
49,isme,éria,0
50,isme,euse,0
51,isme,ier,0
52,isme,asse,0
53,isme,abre,0
54,isme,ide,0
55,isme,ine,3
56,isme,o,16
57,isme,ien,27
58,isme,este,0
59,isme,illon,0
60,isme,ime,0
61,isme,être,0
62,isme,êtres,0
63,isme,in,262
64,isme,if,23
65,isme,abule,0
66,isme,ille,0
67,isme,ingue,0
68,isme,ende,0
69,isme,ace,0
70,isme,aste,0
71,isme,ol,0
72,isme,oire,36
73,isme,eux,6
74,isme,erie,0
75,isme,ités,87
76,isme,eul,0
77,isme,èche,0
78,isme,ené,0
79,isme,enée,0
80,isme,ifier,45
81,isme,[VB],584
82,isme,ibard,0
83,isme,èse,0
84,isme,étique,0
85,isme,ule,0
86,isme,ose,12
87,isme,ésim,0
88,isme,at,36
89,isme,ogne,0
90,isme,ève,0
91,isme,igne,0
92,isme,ingre,0
93,isme,arade,0
94,isme,andum,0
95,isme,iard,0
96,isme,um,0
97,isme,cule,0
98,isme,cules,0
99,isme,dre,0
100,isme,etée,0
101,isme,one,0
102,isme,urne,0
103,isme,ande,0
104,isme,ïa,0
105,isme,­[VB],0
106,isme,ote,26
107,isme,re,267
108,isme,oy[VB],42
109,isme,elé,0
110,isme,el,286
111,isme,ain,27
112,isme,ude,0
113,isme,u,0
114,isme,iste,309
115,isme,iatre,12
116,isme,iatres,12
117,isme,iatr,24
118,isme,eut,0
119,isme,éfact,0
120,isme,iceps,0
121,isme,aine,0
122,isme,uor,0
123,isme,ple,0
124,isme,ars,0
125,isme,is[VB],242
126,isme,acle,0
127,isme,end,0
128,isme,esse,0
129,isme,ouille,0
130,isme,âtre,0
131,isme,otte,0
132,isme,aume,0
133,isme,oche,0
134,isme,ifi[VB],37
135,isme,lège,0
136,isme,aud,0
137,isme,etés,0
138,isme,igaud,0
139,isme,erelle,0
140,isme,iller,8
141,isme,ario,0
142,isme,ifique,0
143,isme,eresse,0
144,isme,émie,0
145,isme,acre,0
146,isme,ifère,0
147,isme,ol[VB],0
148,isme,ar,0
149,isme,ate,0
150,isme,ore,0
151,isme,ell,0
152,isme,ise,0
153,isme,ir,0
154,isme,ème,0
155,isme,in[VB],0
156,isme,atie,0
157,isme,iques2,0
158,isme,inet,0
159,isme,inière,0
160,isme,estre,0
161,isme,ce,0
162,isme,aill[VB],0
163,isme,ereau,0
164,isme,oi,42
165,isme,oie,42
166,isme,oïd,0
167,isme,atum,0
168,isme,arienne,0
169,isme,il[VB],0
170,isme,bule,0
171,isme,ble[VB],0
172,isme,eron,0
173,isme,oble,0
174,isme,ois,3
175,isme,sse,0
176,isme,sses,0
177,isme,s,0
178,isme,éon,0
179,isme,ach[VB],0
180,isme,ais,0
181,isme,[VB]},0
182,isme,ément,69
183,isme,é2,0
184,isme,ot[VB],0
185,isme,iche,0
186,isme,isse,0
187,isme,ill[VB],0
188,isme,onn[VB],0
189,isme,ott[VB],0
190,isme,oure,0
191,isme,crate,0
192,isme,eton,0
193,isme,vore,0
194,isme,ième,0
195,isme,as,46
196,isme,en,168
197,isme,èle,0
198,isme,fi[VB],0
199,isme,ment1,0
200,isme,eret,0
201,isme,el[VB],0
202,isme,ell[VB],0
203,isme,adère,0
204,isme,adères,0
205,isme,let[VB],0
206,isme,aison,0
207,isme,at[VB],0
208,isme,},0
209,isme,otins,0
210,isme,ex,10
211,isme,iqu[VB],10
212,isme,bles,0
213,isme,ign[VB],0
214,isme,ut[VB],0
215,isme,}[VB],0
216,isme,escences,0
217,isme,it[VB],0
218,isme,aux1,0
219,isme,et[VB],0
220,isme,oyant,0
221,isme,oyante,0
222,isme,aient,0
223,isme,oy,0
224,isme,ures3,0
225,isme,aise,0
226,isme,icide,0
227,isme,eure,0
228,isme,oline,0
229,isme,issime,0
230,isme,cul[VB],0
231,isme,ieus,0
232,isme,aul,0
233,isme,bil,0
234,isme,ané,0
235,isme,m,0
236,isme,eteux,0
237,isme,eteaux,0
238,isme,ichons,0
239,isme,iau,11
240,isme,arc,7
241,isme,os[VB],0
242,isme,énaire,0
243,isme,atur,0
244,isme,oit,0
245,isme,oit[VB],0
