"","V1","V2","V3"
"1",1,12,4
"2",1,18,9
"3",2,10,7
"4",2,12,1
"5",2,13,1
"6",2,14,1
"7",2,18,1
"8",3,10,2
"9",3,13,2
"10",3,18,2
"11",3,25,2
"12",4,10,4
"13",4,12,1
"14",4,27,1
"15",4,32,4
"16",5,12,4
"17",5,13,1
"18",5,18,5
"19",5,20,1
"20",5,27,1
"21",7,1,1
"22",7,18,1
"23",7,33,1
"24",8,2,1
"25",8,10,1
"26",8,12,2
"27",8,13,7
"28",8,15,1
"29",8,18,2
"30",8,20,2
"31",8,27,2
"32",8,32,2
"33",9,1,3
"34",9,5,2
"35",9,12,1
"36",9,18,1
"37",9,33,2
"38",10,12,1
"39",10,13,1
"40",10,18,2
"41",11,10,3
"42",11,12,1
"43",11,14,6
"44",11,18,1
"45",11,25,1
"46",11,30,3
"47",11,32,1
"48",16,2,1
"49",16,10,2
"50",16,12,4
"51",16,14,2
"52",16,18,4
"53",16,32,1
"54",17,10,3
"55",18,12,2
"56",18,13,1
"57",18,14,2
"58",19,14,7
"59",21,13,1
"60",21,20,4
"61",22,10,3
"62",22,12,4
"63",22,13,1
"64",22,18,1
"65",22,27,3
"66",22,31,1
"67",24,3,2
"68",24,6,1
"69",24,10,1
"70",24,12,4
"71",24,13,3
"72",24,18,2
"73",24,25,3
"74",24,32,3
"75",24,33,1
"76",24,35,1
"77",25,10,1
"78",25,12,5
"79",25,14,4
"80",25,18,2
"81",26,10,3
"82",26,12,1
"83",26,14,12
"84",26,15,2
"85",26,18,1
"86",26,30,3
"87",28,5,10
"88",28,12,2
"89",28,23,1
"90",29,3,1
"91",29,10,2
"92",29,12,6
"93",29,14,2
"94",29,15,2
"95",29,25,1
"96",29,32,4
"97",30,13,1
"98",30,14,7
"99",31,10,2
"100",31,13,3
"101",33,10,2
"102",33,14,2
"103",33,25,1
"104",34,10,1
"105",34,12,9
"106",34,13,1
"107",34,14,1
"108",34,18,7
"109",34,20,2
"110",35,2,1
"111",35,6,1
"112",35,10,2
"113",35,12,2
"114",35,13,1
"115",35,14,4
"116",35,18,1
"117",35,25,2
"118",35,32,3
